lsoa_code,ward_code
E01000332,E05011218
E01000333,E05011218
E01000334,E05011218
E01000335,E05011218
E01000336,E05011218
E01000337,E05011218
E01000338,E05011218
E01000339,E05011220
E01000340,E05011220
E01000341,E05011220
E01000342,E05011220
E01000343,E05011220
E01000344,E05011220
E01000345,E05011220
E01000346,E05011221
E01000347,E05011221
E01000348,E05011221
E01000349,E05011221
E01000350,E05011221
E01000351,E05011221
E01000352,E05011221
E01000353,E05011219
E01000354,E05011223
E01000355,E05011219
E01000356,E05011223
E01000357,E05011223
E01000358,E05011219
E01000359,E05011233
E01000360,E05011219
E01000361,E05011223
E01000362,E05011219
E01000363,E05011223
E01000364,E05011219
E01000365,E05011219
E01000366,E05011223
E01000367,E05011217
E01000368,E05011217
E01000369,E05011217
E01000370,E05011217
E01000371,E05011217
E01000372,E05011228
E01000373,E05011225
E01000374,E05011222
E01000375,E05011222
E01000376,E05011222
E01000377,E05011222
E01000379,E05011222
E01000380,E05011222
E01000381,E05011229
E01000382,E05011230
E01000383,E05011229
E01000384,E05011230
E01000385,E05011229
E01000386,E05011230
E01000387,E05011230
E01000388,E05011226
E01000389,E05011223
E01000390,E05011226
E01000391,E05011226
E01000392,E05011226
E01000393,E05011226
E01000394,E05011223
E01000395,E05011224
E01000396,E05011224
E01000398,E05011224
E01000399,E05011224
E01000400,E05011224
E01000401,E05011224
E01000402,E05011225
E01000403,E05011225
E01000404,E05011225
E01000405,E05011225
E01000406,E05011225
E01000407,E05011225
E01000408,E05011218
E01000409,E05011226
E01000410,E05011226
E01000411,E05011226
E01000412,E05011226
E01000413,E05011220
E01000414,E05011226
E01000415,E05011226
E01000416,E05011232
E01000417,E05011218
E01000418,E05011218
E01000419,E05011233
E01000420,E05011233
E01000421,E05011233
E01000422,E05011232
E01000423,E05011227
E01000424,E05011227
E01000425,E05011227
E01000426,E05011227
E01000427,E05011227
E01000428,E05011230
E01000429,E05011231
E01000430,E05011231
E01000431,E05011231
E01000433,E05011231
E01000434,E05011231
E01000435,E05011231
E01000436,E05011233
E01000437,E05011228
E01000438,E05011228
E01000439,E05011228
E01000440,E05011228
E01000441,E05011228
E01000442,E05011228
E01000443,E05011221
E01000444,E05011229
E01000445,E05011229
E01000446,E05011221
E01000447,E05011229
E01000448,E05011229
E01000449,E05011229
E01000450,E05011233
E01000451,E05011233
E01000452,E05011233
E01000453,E05011224
E01000454,E05011224
E01000455,E05011224
E01000456,E05011224
E01000457,E05011230
E01000458,E05011230
E01000459,E05011230
E01000460,E05011220
E01000461,E05011221
E01000462,E05011220
E01000463,E05011220
E01000464,E05011232
E01000465,E05011232
E01000466,E05011232
E01000467,E05011232
E01000468,E05011232
E01000469,E05011232
E01000470,E05011232
E01000471,E05013496
E01000472,E05013496
E01000473,E05013496
E01000474,E05013514
E01000475,E05013496
E01000476,E05013496
E01000477,E05013496
E01000478,E05013496
E01000479,E05013497
E01000480,E05013497
E01000481,E05013497
E01000483,E05013497
E01000484,E05013502
E01000485,E05013502
E01000486,E05013497
E01000487,E05013502
E01000488,E05013498
E01000489,E05013498
E01000490,E05013498
E01000491,E05013498
E01000492,E05013498
E01000493,E05013498
E01000494,E05013498
E01000495,E05013498
E01000497,E05013500
E01000498,E05013500
E01000499,E05013500
E01000501,E05013500
E01000502,E05013500
E01000503,E05013500
E01000504,E05013517
E01000505,E05013517
E01000506,E05013509
E01000507,E05013517
E01000508,E05013509
E01000509,E05013500
E01000510,E05013500
E01000511,E05013500
E01000512,E05013517
E01000513,E05013504
E01000514,E05013504
E01000515,E05013508
E01000516,E05013504
E01000517,E05013508
E01000518,E05013513
E01000519,E05013513
E01000520,E05013504
E01000521,E05013501
E01000522,E05013509
E01000523,E05013501
E01000524,E05013501
E01000525,E05013501
E01000526,E05013509
E01000527,E05013509
E01000528,E05013509
E01000530,E05013501
E01000531,E05013507
E01000532,E05013507
E01000533,E05013501
E01000534,E05013501
E01000535,E05013501
E01000536,E05013502
E01000538,E05013502
E01000539,E05013502
E01000540,E05013502
E01000541,E05013502
E01000543,E05013502
E01000544,E05013503
E01000545,E05013503
E01000546,E05013503
E01000547,E05013503
E01000548,E05013503
E01000549,E05013503
E01000550,E05013503
E01000551,E05013503
E01000552,E05013503
E01000553,E05013499
E01000554,E05013499
E01000555,E05013499
E01000556,E05013499
E01000557,E05013499
E01000558,E05013499
E01000559,E05013517
E01000560,E05013499
E01000561,E05013499
